Checklist #,Star Count,Image,Set,Player,Rarity Tier,Country,Supply,JSON
0,0,QmdwX48YJtkz2HdFN56P8yMeDC26x1Ps8gMfeGLyEkb9xb,Originals,Lionel Messi,Diamond,Argentina,60,QmSVbcaMBrjBdz5hzEAPKr8JM2dfobTCFHSbaxuVgC7qJc
1,0,QmW88Q7Fx5K1iaiCbv2tjMouVL6CGbyDpakjCgw4PXSxCy,Originals,Cristiano Ronaldo,Diamond,Portugal,56,QmZZyMsUuYNTcYr4cWL8utXCGiN7Ej1CpDs6wNQexkcLaa
2,0,QmXFAL6ZHev3xYuvPhXyWJCnQmWybeWVcr1gSPwJgF46BB,Originals,Neymar,Diamond,Brazil,59,QmXGUcTP4QA2dq7Q1uNuoSECa7DJ5fShbHm8L1LFB2j3E5
3,0,QmbqV1H9ap1iKQiXJkyviWeBTkqZd3YUPt2YdVA31gSoSj,Originals,Mohamed Salah,Diamond,Egypt,56,QmYLpdfFm4CbrCaWWbccAR5FHBn1oCeBNCDBg7WhwQkMeQ
4,0,Qmf913HiQvBNoTHtpX4eYW5QiWJGwM96CJvqri9hBeYMhk,Originals,Robert Lewandowski,Gold,Poland,82,QmY4vWDePZDjgHb9GXaApnoJjXV5PhzNdF2icrGw99K8FW
5,0,Qma6HTkimWotpxJXiGbzrgZLqFuHMCGVuJCjY3xT123TP7,Originals,Kevin De Bruyne,Gold,Belgium,77,QmVcL6cUYFRgjnBFYwzmRhEhfwRosyfBWtQ8GuSapbX5NE
6,0,Qmak3vVvbcwkoRkHJxWigwdF9uCwt7TUNd8tVS61kmqKXp,Originals,Luka Modrić,Gold,Croatia,76,QmQatZChnKR4BycknubjZyy7S1QcrvPP9Ma8X5QPZpdyuc
7,0,QmXFHaEcjMi3ZP3wUe8YymwurYEnNfZiyJ1iGv2HKtBKkc,Originals,Eden Hazard,Gold,Belgium,74,QmavaPPbVUPyvyNfhZpyXCaF2k725xzy2FKRZj6PeZ5yhy
8,0,QmbNmLLTReBnqQgALp1YjyvskNJTcKbNFMqxff7T7JfKTC,Originals,Sergio Ramos,Gold,Spain,88,QmQZURNK6EgZYL6rimhD7z95F3FLXGEp3ygCmfEnDosMpu
9,0,QmQHx6Cd9YTfEuEuLnBfaTxpu3doQjA7asFnzhU3Hw3S5S,Originals,Toni Kroos,Gold,Germany,78,QmcgoPrwkougBpLhpturwVR4X6QE2k56U68fP5x2jhLkHz
10,0,QmS1rMTUmeGx48nXZ1udk8bvYoV8YX2ZQjH2JQ3u5RhhwS,Originals,Luis Suárez,Gold,Uruguay,69,QmYL4zYSZf5V2gw3YjKK2uGyX6xx9c2epc4WjP9F79umu5
11,0,QmPUBmwWt23djCS6WYmcCTaWU458WpuH6iA57dMvwXQSxD,Originals,Harry Kane,Gold,England,79,QmPTca3xc4v6KVByA9fXaegLqDfm5xEtBtaEmoyHPvh6eY
12,0,QmRWny6uoEGkorXxZNFWoRVUBnBrVwZ6TMVXnyjHaXWXXR,Originals,Sergio Agüero,Gold,Argentina,76,QmVd1TSEc5h7MYjJNVfx5Qv5n21wnPHu6YvHLsRwBvG5Kg
13,0,QmQqYMfEeGNriojtf5rzancDiRVrrJhJhSQDKEEnZ1yR42,Originals,Kylian Mbappé,Gold,France,70,QmVxoeEQs6YteJTQTHRq8GL6p79D1a1aZGcZ6NveHLVUMy
14,0,QmPf6pvKwNNMz7KhrmWBwrnR45HHWMn4SAhguc97gMMguw,Originals,Gonzalo Higuaín,Gold,Argentina,75,QmXr4M24pCdqMvRcxhvipwv3oLWW896JovC8GijuXzZg8m
15,0,QmcXUPLaECDuchy6VccRgNijuQaQRhFpq8vsbhFNQJHbdT,Originals,David de Gea,Gold,Spain,67,QmXA7DSKEmCQ9Zey3r9BRgsJ4TtjtNER1ixj5tc781Pfkf
16,0,QmYnQjtCr9AXp9wqdGEfnsSxYNugjyysZYMFbdc6pKPWdD,Originals,Antoine Griezmann,Gold,France,62,QmRMM2D1d5KMTe319y5SYK26tkyaJgCJDF8FWASfx2CUv9
17,0,QmZfq7nV4txyQhoSTfzDsRyi9b1RTVtCmQuagf8RTwLiQN,Originals,N'Golo Kanté,Gold,France,77,QmR7MWCCWmCHX4SBMYb6pZ2rWsYNMME7jPESiTU1xPtzSq
18,0,QmbkSek9c67HwvvXcRYZfjUXPHsavQYfZtEv3yUuhCYMDc,Originals,Edinson Cavani,Gold,Uruguay,86,QmTqMWKKgVqC1c6yANRpBJtW3myYMhFHuEReKGPUAheDWs
19,0,QmXJ5A7HjkV6i7uFvumbt8nUjHVide4s5E7kwzYuYEE2sD,Originals,Paul Pogba,Gold,France,87,QmSTavHDXLZxY9urDiuphNai2J7QXZWYZ4yVJiXZ3i5iPR
20,0,QmSkq8myCFYnSUz9Gpniuj15bQVaKRrbWe5trUH5pv2jY6,Originals,Isco,Silver,Spain,157,QmRHopMdrmQsWyYECpdXxf5wEKAhPVvJB7Es8N2qVJPKus
21,0,QmRoiw8J1prJXXN8zitEhD4ToLZrMEuavaPCsJUT5NdxWS,Originals,Marcelo,Silver,Brazil,145,QmPPuxEhmHSFD1R3n6orPzUQdgwPEkPu5YFxrsRahVfMFe
22,0,QmWShKYUn7HW4t5aWYhhfa7BRt7M9Z2U13RBwSwu3AxrT3,Originals,Manuel Neuer,Silver,Germany,126,Qmcy8CRTv5nvgoLKFf1mMX2hVbuTx7naYnNrcXHrPQ39JW
23,0,QmVfJRD5kbJvGbt5GVrQs8axBgTMCABdkRdvbKbkJhWWPj,Originals,Dries Mertens,Silver,Belgium,140,Qme7TeiutBaYobk2eQEt95CJe8AUp7z9fzzDYNfJMtxKPn
24,0,QmaN6LSg8PA1DqRd4iparsKJfhFjLYttE4rwBbsG1zTeLB,Originals,James Rodríguez,Silver,Colombia,143,QmXAWQNFRbmBNefwhgHqBc5yuk7THQqW9hb5QCKN6rr12o
25,0,QmR95vKnfH6hQwwRYdGPsyHwtxnNAck9R4Z3o8uKBavNrw,Originals,Paulo Dybala,Silver,Argentina,158,QmUaWjgKupkcz87nrAEokGPeBrC3yfp4Uz422TXfUSM6mE
26,0,QmSaSdnoEtYiXCh8LwqYxMbVRcZFi5wmFETU3aRMXp6jv9,Originals,Christian Eriksen,Silver,Denmark,149,QmfAEf9HhxWNQz54G5BHz3o6jhMVryuP1dJftYipinkEyP
27,0,QmUQKGC2SBcF5K935dBh9vqdx5Rj6HPCEtc7iiiLUSXcpN,Originals,David Silva,Silver,Spain,137,QmPM5LLTRSDZ8et6WDZXsL6AfgdjvsYoxe1gfqDNWRHG41
28,0,QmTaHM3fJjy3fce2wygM97x3stfuKTPKNuhKcXqmknbknj,Originals,Gabriel Jesus,Silver,Brazil,161,QmVEvsKo8axBoMWr81VYaieZUtwRi2hhvdrzZtmxEn62hx
29,0,QmdRrnEp2WCPjzkKX5h6jK5Jm4rg9j3C694RKM6LEW2Ta9,Originals,Thiago,Silver,Spain,157,QmZXw5u4YtP2KWz1RanH99ukqRdTFZFEB9gUGXxH7xGdV6
30,0,QmZrPeMasK4zJ8sRynwZc4kXKnWNUpyhhCHXF3ZF9JmQhM,Originals,Thibaut Courtois,Silver,Belgium,162,QmRa3aLUa2j5bFyErTN2tffJKkAuRKXsHjWaTyLtyNoXbB
31,0,QmWwAL8QgFZSaDSoxMkJTsJ3avDQBDYDLUgkbBy8H35oeQ,Originals,Philippe Coutinho,Silver,Brazil,151,QmcGZoi83RMqZc7HNFDthc11EenR68uujVWivQCgvmgHqb
32,0,QmQigCmx11tTJqLZ1PyABjsZ2KzoEaf1U7nz14uwoUbbqp,Originals,Andrés Iniesta,Silver,Spain,144,QmfCZzHEAsxuxQJWz4XTP3f195kAkejWCrAdyY5n3SoY73
33,0,QmY2ASupMBxcybzhUTRD49xvfwTteXrRu3ZpCSBvDLT5fB,Originals,Casemiro,Silver,Brazil,149,QmaC96YfXb31RgnDwQLz59PzoQNmfhcnbNgkhHahTF1gzx
34,0,QmRiXwsi9mTy73VunrdEx8mHV5AVzFuufUy9Gg3ihbDVa8,Originals,Romelu Lukaku,Silver,Belgium,156,QmZwz9EmBuVDYEvBVi1WrbXt1PEDLifWR2yn2ZaJCYHYz7
35,0,QmdEwBxP5ymvB1JUVJS1aUx58vj57sXdaeo7W9kUboUfXU,Originals,Gerard Piqué,Silver,Spain,132,Qmaffr5PZAKRNTzBHFM2XVCHUH3zjw88TCE6WdEmijkG6u
36,0,QmTjuokWen97eMrTri3xkjqnvKLPrNPPWaf7Z3hNwazRFH,Originals,Mats Hummels,Silver,Germany,165,QmWMEsVgULvMvvExUZpwFT8obLKusTQf5mBCvxp2gp9xKb
37,0,QmQQ4vBfR3whhpanC1NEVrdJBFyfqZ2cB6zxSnKqQeDVV5,Originals,Diego Godín,Silver,Uruguay,153,QmZtPxbmcPxDx7uTYoFbFEioz2UYRKt9ked3jmHdgQKhjk
38,0,QmUPP6btYwNwDSidqqgzDWsf3fTRRX5thvYBUMibDjx1vv,Originals,Mesut Özil,Silver,Germany,146,QmcAJb6X7GSHwoRi2GP6MDDSsWAUYd2kigLhqsr4kyz2uc
39,0,QmWqHNe8h5LmLMhG2ACvykHQd37uPCZN4AYQmjUm87e7nc,Originals,Son Heung-min,Silver,South Korea,154,QmQ8gApMi3ENSAwk841LBoU2hBsugwbbWfoQntkuPqXjWx
40,0,QmWMz4tbrCJcfkhiMF2zq1DmV5CLBDLSJ4Kdo36Sevo1A4,Originals,Raheem Sterling,Silver,England,153,QmcN5WSjD7SF4EAVFjq1g5fVYUJykuBCpbzb7h1oSGMLoq
41,0,QmNQWX4sjRTpUjd7RQbNgr4du51aA9WfsZbxkCtjXcL4eq,Originals,Hugo Lloris,Silver,France,153,QmXUqLnzd9SunonpVQPr3PffGKrknWCoVMizuzKhiuMG1u
42,0,QmScu7XX7tQ9SGUJgN6EhCCowNc68hp2Y2JqYcfP8Hdxpa,Originals,Radamel Falcao,Silver,Colombia,162,QmSU4CLumgbac3iGD2TZnpa2ZbuQMq8DgYtYL9yCJZqJmR
43,0,QmQ8rJeGECpQvsAjaqVGMea6okmWqEVDdhbGyHE16yxGEu,Originals,Ivan Rakitić,Silver,Croatia,153,QmNUJG8ngwHfVcSum5XgXqzkDxNRN5qmtR1jivRCGtjfwD
44,0,QmZxsRFo2uyuiGK8XbPGgbD34axMHmbfdTTuffBEWSPYJB,Originals,Leroy Sané,Silver,Germany,165,QmeKc9EpeyGBVwczMna9zKNhckayE57btZe4pdGc6UDbR5
45,0,QmaShNvPUvkghd9TPBVs3VatVKP9VedMngBPqauCk9FE85,Originals,Roberto Firmino,Silver,Brazil,143,QmXvwQrJR5nzv3hmVKVJcXcxQit6ut238LxE5rZiXqW4vH
46,0,QmZQa3nZGb9SUmHsz6VWS7vqv7E12dR3Bwtua3BN6R5sD5,Originals,Sadio Mané,Silver,Senegal,164,QmP9AqxSj4EXBjASZDrxLoaF4avyVu7613yUEEZAYaovQS
47,0,QmafYUTEP2DfpzxzQXJKiTv4SEqZumEQLiMske2J5KDHCT,Originals,Thomas Müller,Silver,Germany,153,QmSK7xHsx76jmCvASKr3xBACiFzrMUCXK3i3QRiRsFzRGo
48,0,QmRzVyJmixYceZ4JYsakHkQU8CAhhgBnCbA5ULqqmzbgcg,Originals,Dele Alli,Silver,England,144,Qmcv55ajTj3WXva4mhqS4ecY9qXehTxcb3214YobHFiHvt
49,0,QmX4XP9QkzH3TZNp3Ahy6vgacF4xS4eYT2c6YqqNuMiNQR,Originals,Keylor Navas,Silver,Costa Rica,143,QmYfB9dJFACtzkgncixiuczWAHY3qfVkiHGuqgm1q6uq2V
50,0,QmNkiSj6ALR7J82HJyRdtM6n3BXsz2zLCs1aXxGoohEtQ5,Originals,Thiago Silva,Bronze,Brazil,79,Qmd9VAyiwUUPjvdmf5Z4UsLoQNX1cXEu1nrc7D8SkLdRJX
51,0,QmcN3P4kGyFbJLPmWAq9s61jU8asT3HacHYUQ8GQXuGN1D,Originals,Raphaël Varane,Bronze,France,78,QmTNT4rPWCPNqNzVdZiXZjPKGb7TGN1WA21N5MFr4VJoZ6
52,0,Qmdp4XUrudcsE5PDkGm2Mxg4pdCkihAkkAqsHDiF5bbZqy,Originals,Ángel Di María,Bronze,Argentina,78,QmXePson1ZSuiiWFFFgfMiZGJCVmJrDWYqfBihaRrPPnm6
53,0,QmWdbMNFzikhV9ZKk3opZx3bxgidhHUDx1s9Y8pRiHjQX2,Originals,Jordi Alba,Bronze,Spain,78,QmchB8g3h3Dxz8xyNSqrGEKasZgVePYCGJS5PKqNa8LGic
54,0,QmWJQudTho8b3e4HusaeqaP9DoiNzRuo9qS16QEHpSbp9m,Originals,Medhi Benatia,Bronze,Morocco,79,QmV6Mj6B1eB3PqAf6anyEQsLcvArV8SpztMrtJaPxLfUwo
55,0,QmX7U63T4kKBgbj9tAzc8oiRfBjaau4JcVFru6EcaoKx9v,Originals,Timo Werner,Bronze,Germany,78,QmdQgzDaSA4QoTCCC7UGxUaQSBEDVNeHzzhCkCsHvgvrcp
56,0,QmeNphaCcm6NFCsXiQqgcQ3GKPEbQCqXewdBPj4S4cAKAc,Originals,Gylfi Sigurðsson,Bronze,Iceland,76,QmaFc16WdtdzFxMiGsCvrsh2roSYCfdQCqhLhGUPDhscX7
57,0,QmbbfxrJLfkeNKATGAxBcZQyMEJJeM8q3mSWE8XVnGBp5C,Originals,Nemanja Matić,Bronze,Serbia,79,QmWPUxwG584GeWCwdu2DcdcmTwo9rXAbURHxvnjAaMPQm4
58,0,QmTQFxxTvKaaxapigGCanco4vkP76UZ3W2hHy6r1vop7Uv,Originals,Kalidou Koulibaly,Bronze,Senegal,79,QmS66Ho9ixwJ7wAP5vspa5vrmzRAbpmt7gLATfvZZdtLmU
59,0,QmddeqipHvH26gbEEGR5fWidPfNFqoVoT1zDzyGuWcz2QY,Originals,Bernardo Silva,Bronze,Portugal,78,QmZ1xUYD5kKtdH7dpLJZDEAsq45E8GXQ3seXLsbFg1JLGJ
60,0,QmPhoPSqWt4yDp2mLULqLNvh6P8Smi8Krz9w2nKUYLVona,Originals,Vincent Kompany,Bronze,Belgium,78,Qmezxtr5GwLGzmEQehyiqhhVERZgPEiYU97b44w4PcFdYw
61,0,QmaF53SaX43o75WyzgLziFfsD3Q1DunTisbQUGea59LqA2,Originals,João Moutinho,Bronze,Portugal,78,QmTqvTmoMNbh3ZxCijnxRNy71g3281n5uNkpDxZPYkHzDe
62,0,QmdyC7cwDjdxJteRrWZxGsZCx3PTDDAsR85Mfd6bHwiJCq,Originals,Toby Alderweireld,Bronze,Belgium,78,QmYkqo7nucheAUWZ1HhRLxfVipnL2MeBHVwmaEmc8a3Cbz
63,0,QmYVwoAeMGXBpYDWG4oyPKn7BFYpsd9Zjhzt6H7zhbs8J3,Originals,Emil Forsberg,Bronze,Sweden,78,QmQyzNpx2d3h8mQURJrQ6RB29YEBEK31QdhdR7AQEtKpZL
64,0,QmXTYKnPi6DQCCdpD7eaRKTNthoS3PhBYEs5JMAUx4EhfB,Originals,Mario Mandžukić,Bronze,Croatia,78,QmNRJUy3NruCuW6BwXDW6uNgmJgFiNsaR8rorggHHSsPKY
65,0,QmaihzubsWnqnNpPNnrsk62qJvjgar3BCriHXWhQoar1An,Originals,Sergej Milinković-Savić,Bronze,Serbia,78,QmbLRMSzPhjWw75kWY1ViTrb4xvVURZJnJ9HPpxYYdU5Ca
66,0,QmajNxCCWmed5429MgXAbs39JfagKyatFsFDFwEdANpDWa,Originals,Shinji Kagawa,Bronze,Japan,79,QmdLMA1Sv8WU2BAhG4bAxUiasBSWDkH61UuGur6MiQwT9n
67,0,QmPHjWadMdb2atDGLjakJqw5dxF1Sqx1SDN4oZMX1N7pfV,Originals,Granit Xhaka,Bronze,Switzerland,80,QmYGt7DLUJnibe1JFBxnHkDPcwACdtxDxkyAVbW3P6TPxt
68,0,QmV2MFsHYPaBwjiTFtEPsjaYY6KJJDCA4ELvRbv6Cr4Lw9,Originals,Andreas Christensen,Bronze,Denmark,77,QmSaYvGn61mRaxP59Hdtd8vGhMJx27z2Z2g9Ar5ESN91qG
69,0,Qmc9mcLT1nPh35Dc36L8bbUVGcLCqiv3srGuMyur5Nedfd,Originals,Piotr Zieliński,Bronze,Poland,80,QmNtLNtnxeLPxxiXWtRH1Brv5DkL2pBdiAMRiadhWnVGdB
70,0,QmdkAfZepcESYahULMNnRrKspHRhQMQvJgWTC5DuAKgBqy,Originals,Fyodor Smolov,Bronze,Russia,79,QmXoM6KEwhZFunswV2K5He7xKs3xiXLXqEEuSrxmLphGiE
